intensity,readability,perplexity,lex_diversity
4,-47.25853033472799,520.6002197265625,0.5956175298804781
5,-38.81534075723829,693.3866577148438,0.5529157667386609
1,-63.6532608695652,322.12481689453125,0.6218487394957983
2,8.016388888888912,278.8840026855469,0.6666666666666666
3,24.12085889570554,49.40086364746094,0.5933147632311978
4,19.585633484162912,153.88267517089844,0.569937369519833
5,-1.4182462686567021,184.57260131835938,0.6480446927374302
1,8.795712809917376,528.173828125,0.625974025974026
2,45.93994082840237,430.1381530761719,0.5225563909774437
3,-3.15685399159662,250.234375,0.6182795698924731
4,16.830555555555577,210.92022705078125,0.5653266331658291
5,54.32344148222671,445.8966369628906,0.502868068833652
1,27.350631093314803,11.116527557373047,0.4640198511166253
2,-12.355029527559054,427.3337097167969,0.7021791767554479
3,-2.374141949152545,96.89653015136719,0.6782334384858044
4,-18.89970588235292,589.8192138671875,0.7089783281733746
5,-25.216453259104583,539.1978149414062,0.6913827655310621
1,31.485952380952398,248.3852081298828,0.4671717171717172
2,-34.35243499999997,481.6243896484375,0.5887850467289719
3,8.517575968452832,315.1153564453125,0.5971943887775552
4,0.21572641509436608,294.85687255859375,0.6202783300198808
5,-22.457632743362808,427.6213073730469,0.7047353760445683
1,-17.98182383419686,386.4222412109375,0.7266009852216748
2,-0.17975524475522775,231.99644470214844,0.6085106382978723
3,21.58529361942408,70.38550567626953,0.6218487394957983
4,-27.067999999999955,701.789306640625,0.6496350364963503
5,14.426578947368455,363.7709655761719,0.65
1,8.030483286908094,205.07870483398438,0.6518324607329843
2,31.205124407582957,614.4879150390625,0.6431818181818182
3,23.70743376828787,150.77542114257812,0.6777408637873754
4,-71.6161139240506,600.6132202148438,0.6940451745379876
5,-58.901976744186015,608.9432373046875,0.7330316742081447
1,16.861596771200624,213.1090545654297,0.573134328358209
2,-12.010097323600945,491.8887939453125,0.6651162790697674
3,-26.65268975210833,602.686279296875,0.5923566878980892
4,-0.10335691823897264,40.52630615234375,0.6379310344827587
5,-129.60735465116278,763.731689453125,0.7442827442827443
1,51.343461538461554,510.97979736328125,0.46846846846846846
2,-91.09936567164175,1095.416015625,0.6308068459657702
3,5.158249475891012,1144.6981201171875,0.45555555555555555
4,-12.355565217391273,696.8883056640625,0.5674418604651162
5,-73.54120689655169,860.2061767578125,0.25120772946859904
1,-51.84358082706764,634.2230224609375,0.33902439024390246
2,9.17495325484768,446.7379150390625,0.5625
3,6.535381859131888,500.7977294921875,0.5902777777777778
4,11.149484240687713,299.2590637207031,0.39017735334242837
5,-51.33764423076917,526.4968872070312,0.5033112582781457
1,-23.22176363636359,205.3050079345703,0.5887850467289719
2,19.756506410256435,20.897972106933594,0.4961636828644501
3,-55.175584220716345,389.8119201660156,0.2855796418473139
4,5.685011323196363,62.1521110534668,0.5993485342019544
5,-12.40017556179771,391.6566467285156,0.775438596491228
1,34.85259942537428,17.046987533569336,0.44988864142538976
2,-12.58571375895491,687.3751831054688,0.31533742331288345
3,15.366541237113438,309.8918151855469,0.6818181818181818
4,-22.718785394932894,424.4283142089844,0.6701846965699209
5,-23.7483185840708,594.4752807617188,0.6923076923076923
1,37.83126262626266,27.905933380126953,0.49014084507042255
2,7.732184971098263,440.1297302246094,0.45137614678899085
3,27.141380090497762,30.24892234802246,0.5380116959064327
4,-14.257926605504565,691.8565673828125,0.4017857142857143
5,-51.2706782106782,637.65478515625,0.6616541353383458
1,-37.60293327575033,932.7361450195312,0.15829145728643215
2,-15.343636363636364,181.46533203125,0.6075268817204301
3,-37.419589905362756,288.4359436035156,0.6982248520710059
4,-57.203749999999985,490.50433349609375,0.7194719471947195
5,-32.41949009308857,738.2185668945312,0.11130465075770772
1,30.648214285714317,12.700225830078125,0.5144230769230769
2,16.1668181818182,325.03277587890625,0.661498708010336
3,3.5525127551020717,640.592041015625,0.556989247311828
4,7.375704390451858,266.4490661621094,0.7325581395348837
5,-21.501944298476076,680.9660034179688,0.6070110701107011
1,-38.746449094792496,463.5163269042969,0.22641509433962265
2,35.03556732740947,38.88873291015625,0.4782608695652174
3,-95.6371054660726,578.8486328125,0.30722484807562456
4,-28.45180722891564,715.2947998046875,0.7142857142857143
5,-35.46328029700345,583.0034790039062,0.6420323325635104
1,-17.170040414926547,200.46719360351562,0.4858569051580699
2,19.78828502415459,428.1173095703125,0.5230460921843687
3,-5.534003988245161,209.6796875,0.6041666666666666
4,10.642894736842138,454.2263488769531,0.5668358714043993
5,-16.16874999999999,545.95654296875,0.6728395061728395
1,-37.63033018867921,372.376953125,0.36185819070904646
2,-25.824486161524504,348.5583190917969,0.5291005291005291
3,-108.32332483370286,861.3156127929688,0.24347826086956523
4,-64.21137218045106,557.9223022460938,0.6508313539192399
5,22.703161764705925,363.6382751464844,0.7003610108303249
1,-3.8638492387166536,414.59246826171875,0.5655608214849921
2,-48.37974215728404,460.1428527832031,0.25778816199376947
3,24.67866336633665,91.91015625,0.5714285714285714
4,25.430674033149188,176.302978515625,0.5766233766233766
5,29.698263736263783,47.632118225097656,0.5918367346938775
1,33.412000000000035,533.30615234375,0.6403508771929824
2,-36.34692462311554,307.58697509765625,0.7605633802816901
3,-54.37543162044588,562.9473876953125,0.6117103235747303
4,-9.658719590268873,329.1532897949219,0.692722371967655
5,-78.255652173913,874.9974365234375,0.7203389830508474
1,48.3334240362812,133.75164794921875,0.6428571428571429
2,19.622249527410233,538.2100830078125,0.5792349726775956
3,-3.0843980870712073,275.7279968261719,0.685785536159601
4,28.674455128205153,99.33143615722656,0.6048387096774194
5,-0.7956269113149403,312.15972900390625,0.6903409090909091
1,-30.366944444444385,196.6970672607422,0.6125356125356125
2,-19.09585820895518,162.33871459960938,0.7027027027027027
3,-43.8640117767537,302.1722106933594,0.6443965517241379
4,-20.44059631686639,242.89749145507812,0.6536144578313253
5,-71.993,785.1408081054688,0.6855670103092784
1,15.668968023255843,70.33507537841797,0.5331905781584583
2,32.241000000000014,74.69268035888672,0.5957446808510638
3,14.699662802950485,61.14982604980469,0.5703703703703704
4,-9.609999999999985,138.1446533203125,0.5900178253119429
5,-19.551818181818163,476.4263610839844,0.7418181818181818
1,32.070956112852684,534.46142578125,0.38414634146341464
2,-10.552415611814325,527.9169921875,0.625615763546798
3,-2.1939938684503772,643.086669921875,0.7475728155339806
4,26.311060606060636,190.67115783691406,0.6299435028248588
5,-28.34818707304254,640.2481689453125,0.6326530612244898
1,-44.11355214723923,573.0342407226562,0.6936936936936937
2,-13.556902700831017,418.0384826660156,0.7066666666666667
3,-72.87830310880824,575.7943725585938,0.6073825503355704
4,-84.30332142857142,659.7769775390625,0.5227606461086637
5,48.1367381930185,561.5396118164062,0.4990138067061144
1,-9.284845182204322,166.63417053222656,0.517304189435337
2,-18.438221649484504,629.3720703125,0.06494661921708185
3,5.06658208955227,500.87939453125,0.6804123711340206
4,-13.493853982300863,308.257080078125,0.667590027700831
5,-42.27223243471229,628.436767578125,0.17574552683896622
1,0.7066363636363917,369.4070129394531,0.5887681159420289
2,-18.72011915400651,702.2857666015625,0.6809045226130653
3,10.877473572938698,171.09762573242188,0.6794425087108014
