intensity,readability,perplexity,lex_diversity,word_count,bleu
1,-31.36,617.1686401367188,0.6774193548387096,465,
2,-23.42,215.58934020996094,0.7156862745098039,408,
3,-46.62,587.4620361328125,0.5428082191780822,584,
4,-18.03,514.5139770507812,0.7058823529411765,374,
5,23.7,334.2994079589844,0.7379679144385026,374,
1,22.14,77.40803527832031,0.6242038216560509,314,
2,-7.48,252.4579620361328,0.6521739130434783,414,
3,29.93,111.58152770996094,0.6168478260869565,368,
4,34.22,116.20061492919922,0.5222816399286988,561,
5,36.15,118.36721801757812,0.6005586592178771,358,
1,28.1,314.7847900390625,0.44536082474226807,485,
2,-9.06,496.43511962890625,0.5790697674418605,430,
3,40.28,116.64529418945312,0.6012461059190031,321,
4,-62.89,690.6883544921875,0.4524390243902439,820,
5,-16.8,590.3011474609375,0.2935606060606061,1056,
1,15.0,23.755231857299805,0.6194690265486725,339,
2,-6.73,393.2827453613281,0.62,400,
3,-7.71,128.4266815185547,0.7366548042704626,281,
4,-12.31,400.9007263183594,0.38246041412911086,821,
5,-144.41,806.4887084960938,0.704312114989733,487,
1,-14.24,384.2668762207031,0.6831955922865014,363,
2,39.26,16.678138732910156,0.5366492146596858,382,
3,35.81,11.72732925415039,0.47619047619047616,357,
4,-54.88,596.166015625,0.6540755467196819,503,
5,37.03,511.3641662597656,0.7328990228013029,307,
1,-1.24,357.8038330078125,0.4835007173601148,697,
2,18.15,194.36331176757812,0.6386138613861386,404,
3,4.95,145.50331115722656,0.6607142857142857,392,
4,-39.22,764.0991821289062,0.7562326869806094,361,
5,-40.8,581.8551025390625,0.45741324921135645,951,
1,-2.71,210.7454071044922,0.6243523316062176,386,
2,13.38,31.880937576293945,0.6112759643916914,337,
3,-60.16,586.2156372070312,0.7631578947368421,380,
4,-45.26,823.6837158203125,0.6925207756232687,361,
5,6.24,610.150634765625,0.5664335664335665,429,
1,57.5,84.24857330322266,0.6358543417366946,357,
2,43.19,298.1325988769531,0.6983695652173914,368,
3,-5.51,539.02734375,0.7024390243902439,410,
4,49.08,520.443115234375,0.7755102040816326,245,
5,67.49,14.449161529541016,0.5196629213483146,356,
1,5.43,175.20095825195312,0.5990990990990991,444,
2,14.46,178.08517456054688,0.7551867219917012,241,
3,15.24,534.9866943359375,0.548,500,
4,-37.11,472.13330078125,0.6021798365122616,367,
5,-61.24,827.0325317382812,0.4905109489051095,685,
1,-29.95,295.2264709472656,0.8308157099697885,331,
2,-10.35,89.82919311523438,0.6674259681093394,439,
3,-39.45,389.9080505371094,0.7442396313364056,434,
4,-53.26,399.4762268066406,0.6991150442477876,339,
5,-62.46,433.1997375488281,0.4887640449438202,890,
1,18.7,1046.7994384765625,0.5835616438356165,365,
2,20.59,665.22314453125,0.6428571428571429,364,
3,21.94,202.47955322265625,0.6974358974358974,390,
4,13.69,780.0269165039062,0.8205882352941176,340,
5,35.85,715.7387084960938,0.5815602836879432,423,
1,-21.47,577.1803588867188,0.3419170243204578,699,
2,-49.63,511.99951171875,0.5008787346221442,569,
3,-3.18,386.8154602050781,0.6757425742574258,404,
4,-21.88,693.0115356445312,0.4042365401588703,1133,
5,47.69,432.29345703125,0.5534351145038168,524,
1,-18.5,644.8941650390625,0.6240601503759399,665,
2,-24.43,463.3168029785156,0.6783216783216783,429,
3,-16.61,360.9483337402344,0.7406593406593407,455,
4,-28.85,528.6283569335938,0.46629986244841815,727,
5,-13.49,333.1671447753906,0.43915343915343913,756,
1,-23.01,133.6691436767578,0.5273311897106109,622,
2,-402.22,894.7442016601562,0.21791215059897318,1753,
3,9.32,115.93722534179688,0.5979899497487438,398,
4,-58.47,1139.7174072265625,0.8153846153846154,325,
5,-0.3,398.9844970703125,0.7446043165467626,278,
1,27.19,353.91717529296875,0.5703324808184144,391,
2,-5.31,643.2608642578125,0.7239915074309978,471,
3,28.58,759.4058837890625,0.3685932388222465,917,
4,-24.08,554.4107666015625,0.372972972972973,1110,
5,-4.94,392.1378479003906,0.7692307692307693,338,
1,0.25,496.25311279296875,0.6169491525423729,590,
2,38.05,804.2390747070312,0.3202676864244742,1046,
3,-8.59,641.361328125,0.47238372093023256,688,
4,12.67,463.48760986328125,0.49857142857142855,700,
5,-5.21,416.8377990722656,0.5813953488372093,430,
1,-11.59,529.322509765625,0.23897058823529413,1360,
2,-35.83,398.3716125488281,0.36599099099099097,888,
3,15.04,310.5372009277344,0.713527851458886,377,
4,35.81,678.6822509765625,0.6980306345733042,457,
5,30.74,293.6742858886719,0.7430340557275542,323,
1,-37.96,851.5863037109375,0.1961756373937677,1412,
2,0.05,438.0817565917969,0.46111111111111114,540,
3,-51.22,708.4276123046875,0.3857965451055662,521,
4,19.17,423.4993591308594,0.5267175572519084,393,
5,-29.98,324.61627197265625,0.6334310850439883,341,
1,-38.13,463.7862854003906,0.8629032258064516,248,
2,19.4,53.7983512878418,0.639751552795031,322,
3,-98.52,700.435302734375,0.40348101265822783,632,
4,-64.59,849.8533325195312,0.5371900826446281,605,
5,-54.06,627.8436889648438,0.5401709401709401,585,
1,4.95,51.03529739379883,0.5671232876712329,365,
2,23.36,31.620357513427734,0.5515320334261838,359,
3,32.3,305.3276672363281,0.20669934640522875,1224,
4,-81.27,462.8160095214844,0.5158730158730159,504,
5,6.21,687.2536010742188,0.5421412300683371,439,
1,-7.71,251.80645751953125,0.628032345013477,371,
